560   J1321-5922    kel+09     306.78 3.26   1.27905759523            7  kel+09     2.37E-15             3  kel+09     383            2  kel+09     30.00  +30.00   tc93       8.55e+06 *       *          *                               

561   B1322+83      dbtb82     121.89 33.67  0.670037418386           3  hlk+04     5.6630E-16           3  hlk+04     13.312        18  hlk+04     0.77   0.77     tc93       1.87e+07 *       *          *                               
562   J1322-62      kek+13     306.51 -0.20  1.044851                 4  kek+13     *                    0  *          733.6          0  kek+13     30.00  +30.00   tc93       *        *       *          *                               
563   J1322-6241    mlc+01     306.49 -0.04  0.50605841373            5  mlc+01     2.587E-15           18  mlc+01     618.8         19  mlc+01     19.91  19.91    tc93       3.1e+06  *       *          *                               
564   J1322-6329    kbm+03     306.37 -0.83  2.7642094208             5  kbm+03     1.108E-14           10  kbm+03     659            9  kbm+03     30.00  +30.00   tc93       3.95e+06 *       *          *                               
565   J1324-6146    kbm+03     306.86 0.85   0.8441085753             3  kbm+03     5.58E-15            14  kbm+03     828            9  kbm+03     30.00  +30.00   tc93       2.4e+06  *       *          *                               

566   J1324-6302    kbm+03     306.64 -0.40  2.48380369300           10  kbm+03     9.79E-16             9  kbm+03     497            5  kbm+03     11.03  11.03    tc93       4.02e+07 *       *          *                               
567   B1323-58      mlt+78     307.50 3.56   0.47799086689            3  dmk+93     3.238E-15            1  dmk+93     287.30        15  hfs+04     3.00   9.38     tc93       2.34e+06 *       *          *                               
568   B1323-63      mlt+78     306.75 -1.53  0.7926701073             5  nmc81      3.103E-15           18  nmc81      502.7          4  hfs+04     15.70  15.70    tc93       4.05e+06 *       *          *                               
569   B1322-66      mlt+78     306.31 -4.37  0.5430085792             5  nmc81      5.31E-15             2  nmc81      209.6          3  hfs+04     8.50   8.50     tc93       1.62e+06 *       *          *                               
570   J1327-0755    blr+13     318.38 53.85  0.0026779231971205       2  blr+13     1.773E-20           18  blr+13     27.91215       6  blr+13     2.17   +2.17    tc93       2.39e+09 ELL1    blr+13     *                               

571   B1323-62      kac+73     307.07 0.20   0.52991319210            1  dmk+93     18.8787E-15          7  dmk+93     318.80         6  hfs+04     4.00   6.62     tc93       4.45e+05 *       *          *                               
572   B1323-627     jlm+92     306.97 -0.43  0.196478664183           3  jml+95     1.52962E-15          7  jml+95     294.91         3  jml+95     6.50   6.50     tc93       2.04e+06 *       *          *                               
573   J1327-6400    mlc+01     306.84 -1.40  0.280677974168          13  mlc+01     3.1177E-14           4  mlc+01     680.9         14  mlc+01     30.00  +30.00   tc93       1.43e+05 *       *          *                               
574   B1325-43      mlt+78     309.87 18.41  0.53269880337           13  nmc81      3.014E-15            6  nmc81      42.0          10  nmc81      2.29   2.29     tc93       2.8e+06  *       *          *                               
575   B1325-49      mlt+78     309.12 13.07  1.4787213559             4  nmc81      6.1E-16              2  nmc81      118            2  nmc81      7.78   +7.78    tc93       3.84e+07 *       *          *                               

576   J1329-6158    kbm+03     307.33 0.57   1.5652179638             8  kbm+03     3.39E-14             3  kbm+03     514           11  kbm+03     8.11   8.11     tc93       7.32e+05 *       *          *                               
577   J1331-5245    kjv+10     308.98 9.65   0.6481166471             2  bbb+12     0.510E-15            9  bbb+12     148.4          3  bbb+12     10.50  +10.50   tc93       2.01e+07 *       *          *                               
578   J1332-3032    lml+98     313.40 31.49  0.650434490647          17  hlk+04     5.603E-16            4  hlk+04     15.10         19  hlk+04     0.87   0.87     tc93       1.84e+07 *       *          *                               
579   J1333-4449    jbo+09     310.77 17.40  0.345602948594           3  jbo+09     0.00054E-15         19  jbo+09     44.3          17  jbo+09     2.32   2.32     tc93       1.01e+10 *       *          *                               
580   J1334-5839    mld+96     308.52 3.75   0.1077182159234          2  dsb+98     2.1596E-17           4  dsb+98     119.2978       9  dsb+98     3.89   3.89     tc93       7.9e+07  *       *          *                               

581   J1335-3642    mld+96     312.71 25.33  0.399192                 3  mld+96     *                    0  *          41.7           3  dsb+98     4.11   +4.11    tc93       *        *       *          *                               
582   J1337-6306    hfs+04     308.10 -0.70  0.207953012189           4  hfs+04     3.558E-16            3  hfs+04     777.7         17  hfs+04     16.01  16.01    tc93       9.26e+06 *       *          *                               
583   J1337-6423    kjb+12     307.89 -1.96  0.009423406717798       17  nbb+14     2.469E-20           18  nbb+14     259.2         13  nbb+14     6.30   6.30     tc93       6.05e+09 ELL1    nbb+14     *                               
584   B1334-61      jlm+92     308.37 0.31   1.23898957650            4  jml+95     1.3854E-14           2  jml+95     640.3          7  hfs+04     8.16   8.16     tc93       1.42e+06 *       *          *                               
585   J1339-4712    jbo+09     311.42 14.87  0.1370546579332          4  jbo+09     0.00053E-15          2  jbo+09     39.9           6  jbo+09     1.77   1.77     tc93       4.1e+09  *       *          *                               

586   J1339-6618    kbm+03     307.79 -3.89  0.55817922185            5  kbm+03     3.5E-16              3  kbm+03     241            3  kbm+03     7.62   7.62     tc93       2.53e+07 *       *          *                               
587   B1336-64      mlt+78     308.05 -2.56  0.37862206628            4  nmc81      5.0512E-15          16  nmc81      76.99         13  hfs+04     1.92   1.92     tc93       1.19e+06 *       *          *                               
588   J1341-6023    mlc+01     309.04 1.89   0.627285365870          16  mlc+01     1.9461E-14           8  mlc+01     364.6          9  mlc+01     7.03   7.03     tc93       5.11e+05 *       *          *                               
589   B1338-62      mdt85      308.73 -0.03  0.193339746306          19  wmp+00     2.53107E-13          3  wmp+00     717.3          6  wmp+00     8.55   8.55     tc93       1.21e+04 *       *          *                               
590   J1342+2822A   hrs+07     42.21  78.71  0.002545                 1  hrs+07     *                    0  *          26.5           1  hrs+07     10.40  +1.80    tc93       *        *       *          *                               

591   J1342+2822B   hrs+07     42.22  78.71  0.002389420757786        1  hrs+07     1.858E-20            4  hrs+07     26.148         2  hrs+07     10.40  +1.80    tc93       2.04e+09 ELL1    hrs+07     *                               
592   J1342+2822C   hrs+07     42.21  78.71  0.002166                 1  hrs+07     *                    0  *          26.5           1  hrs+07     10.40  +1.80    tc93       *        *       *          *                               
593   J1342+2822D   hrs+07     42.22  78.71  0.00544297516            6  hrs+07     *                    0  *          26.358        19  hrs+07     10.40  +1.80    tc93       *        DD      hrs+07     *                               
594   J1344-6059    kbm+03     309.34 1.22   0.54010232140            6  kbm+03     4.3E-17              4  kbm+03     435            7  kbm+03     7.17   7.17     tc93       1.99e+08 *       *          *                               
595   J1345-6115    mlc+01     309.41 0.93   1.25308459010           18  mlc+01     3.25E-15             8  mlc+01     278.1         20  mlc+01     5.87   5.87     tc93       6.11e+06 *       *          *                               

596   J1346-4918    bbb+12     312.06 12.59  0.2996251068             2  bbb+12     0.035E-15            3  bbb+12     74.42          7  bbb+12     3.90   3.90     tc93       1.36e+08 *       *          *                               
597   J1347-5947    mlc+01     309.91 2.32   0.609961754304          15  mlc+01     1.4160E-14           7  mlc+01     293.4          5  mlc+01     6.54   6.54     tc93       6.82e+05 *       *          *                               
598   J1348-6307    mlc+01     309.35 -0.96  0.9277722389             3  mlc+01     3.79E-15             7  mlc+01     597            3  mlc+01     8.18   8.18     tc93       3.88e+06 *       *          *                               
599   J1349-6130    mlc+01     309.81 0.59   0.259362860073           9  mlc+01     5.125E-15            4  mlc+01     284.6          4  mlc+01     5.82   5.82     tc93       8.02e+05 *       *          *                               
600   J1350-5115    lml+98     312.23 10.55  0.29569917630            3  dsb+98     7.526E-16            6  dsb+98     90.388         8  dsb+98     4.52   4.52     tc93       6.23e+06 *       *          *                               

601   J1352-6803    ebvb01     308.61 -5.87  0.628902546380          16  ebvb01     1.234E-15            3  ebvb01     214.6          2  ebvb01     14.24  14.24    tc93       8.07e+06 *       *          *                               
602   J1354-6249    kbm+03     310.07 -0.83  2.951938334              3  kbm+03     1.48E-14            11  kbm+03     254           17  kbm+03     5.62   5.62     tc93       3.16e+06 *       *          *                               
603   B1352-51      mlt+78     312.95 9.71   0.64430109622            8  nmc81      2.813E-15            4  nmc81      112.1          4  nmc81      6.47   6.47     tc93       3.63e+06 *       *          *                               
604   J1355-5747    lfl+06     311.43 4.02   2.0386738254             4  lfl+06     7.1E-16              9  lfl+06     229            3  lfl+06     7.58   7.58     tc93       4.52e+07 *       *          *                               
605   J1355-5925    kbm+03     311.07 2.43   1.21338122674            5  kbm+03     5.986E-15           11  kbm+03     354.8          9  kbm+03     8.43   8.43     tc93       3.21e+06 *       *          *                               

606   J1355-6206    kbm+03     310.33 -0.16  0.276603043150          10  kbm+03     3.1E-18              6  kbm+03     547            3  kbm+03     7.95   7.95     tc93       1.41e+09 *       *          *                               
607   J1356-5521    mld+96     312.20 6.34   0.507379566696           6  dsb+98     7.2350E-16          10  dsb+98     174.172        6  dsb+98     8.75   8.75     tc93       1.11e+07 *       *          *                               
608   B1353-62      kac+73     310.47 -0.57  0.455761                 1  jlm+92     *                    0  *          416.8          4  hfs+04     6.94   6.94     tc93       *        *       *          *                               
609   J1357-6429    lfl+06     309.92 -2.51  0.166108327507          14  lfl+06     3.601843E-13        14  lfl+06     128.5          7  lfl+06     4.09   4.09     tc93       7.31e+03 *       *          HE[lzg+11]                      
610   J1358-2533    mld+96     321.49 34.89  0.912971                 1  dsb+98     *                    0  *          31.27          1  dsb+98     3.08   +3.08    tc93       *        *       *          *                               

611   B1356-60      mlt+78     311.24 1.13   0.12750077685            3  nmc81      6.3385E-15          13  nmc81      293.71        14  hfs+04     5.00   5.90     tc93       3.19e+05 *       *          *                               
612   J1400-1438    rsm+13     326.89 45.00  0.0030842332007          2  rsm+13     0.0E-19             75  rsm+13     4.928          3  rsm+13     0.27   0.27     tc93       *        BT      rsm+13     *                               
613   J1400-6325    rmg+10     310.59 -1.59  0.0311816011             3  rmg+10     3.890E-14            6  rmg+10     563            4  rmg+10     9.43   9.43     tc93       1.27e+04 *       *          HE                              
614   B1358-63      mlt+78     310.57 -2.14  0.842789632370          14  smd93      1.67258E-14          8  smd93      98.0           5  nmc81      1.80   2.60     tc93       7.98e+05 *       *          *                               
615   B1359-51      vl70       314.14 9.91   1.380177                 5  mlt+78     *                    0  *          39             5  mlt+78     1.52   1.52     tc93       *        *       *          *                               

616   J1403-6310    kbm+03     310.93 -1.42  0.39917017693            5  kbm+03     9E-17                2  kbm+03     305            3  kbm+03     6.14   6.14     tc93       7.03e+07 *       *          *                               
617   J1403-7646    lml+98     307.10 -14.49 1.3061978120             8  ebvb01     1.204E-15           16  ebvb01     100.6          1  dsb+98     7.03   +7.03    tc93       1.72e+07 *       *          *                               
618   J1404+12      cha03      355.22 67.15  2.65027                  0  cha03      *                    0  *          25             0  cha03      1.90   +1.90    tc93       *        *       *          *                               
619   J1405-5641    lfl+06     312.97 4.74   0.61757468514            4  lfl+06     1.198E-15           12  lfl+06     273            3  lfl+06     21.30  +21.30   tc93       8.17e+06 *       *          *                               
620   J1406-5806    kbm+03     312.67 3.35   0.28834924425            5  kbm+03     6.11E-16            10  kbm+03     229            3  kbm+03     6.73   6.73     tc93       7.48e+06 *       *          *                               

621   J1406-6121    mlc+01     311.84 0.20   0.213074653776          14  mlc+01     5.4701E-14           3  mlc+01     542.3         18  mlc+01     9.11   9.11     tc93       6.17e+04 *       *          *                               
622   J1407-6048    mlc+01     312.13 0.68   0.49234420664            5  mlc+01     3.156E-15            8  mlc+01     575.2         17  mlc+01     9.70   9.70     tc93       2.47e+06 *       *          *                               
623   J1407-6153    mlc+01     311.81 -0.35  0.7016149492             3  mlc+01     8.85E-15             7  mlc+01     645            9  mlc+01     9.75   9.75     tc93       1.26e+06 *       *          *                               
624   J1409-6953    bbb+12     309.57 -8.03  0.5285907792             3  bbb+12     0.84E-15             1  bbb+12     163            2  bbb+12     12.60  +12.60   tc93       9.97e+06 *       *          *                               
625   J1410-6132    ojk+08     312.20 -0.09  0.0500519462             0  ojk+08     32E-15               0  ojk+08     960           10  ojk+08     30.00  +30.00   tc93       2.48e+04 *       *          *                               

626   J1410-7404    eb01b      308.35 -12.04 0.2787294436271         15  eb01b      6.74E-18             9  eb01b      54.24          6  eb01b      2.15   2.15     tc93       6.55e+08 *       *          *                               
627   J1412-6111    mlc+01     312.60 0.14   0.52915639797            4  mlc+01     1.91E-15             3  mlc+01     311.8          9  mlc+01     5.95   5.95     tc93       4.38e+06 *       *          *                               
628   J1412-6145    mlc+01     312.32 -0.37  0.315224970657          12  mlc+01     9.86598E-14         13  mlc+01     514.7         11  mlc+01     9.32   9.32     tc93       5.06e+04 *       *          *                               
629   J1412+7922    zhi+11     118.32 37.02  0.059198212396           7  zhi+11     4E-19                2  zhi+11     *              0  *          *      *        *          2.34e+09 *       *          NRAD                            
630   J1413-6141    kbm+03     312.46 -0.34  0.28562462018           16  kbm+03     3.3344E-13          15  kbm+03     677            8  kbm+03     11.00  11.00    tc93       1.36e+04 *       *          *                               

631   J1413-6205    sdz+10     312.37 -0.74  0.10974069969            3  sdz+10     2.7680E-14           4  sdz+10     *              0  *          *      *        *          6.28e+04 *       *          NRAD                            
632   J1413-6222    mlc+01     312.24 -0.99  0.29240770249            3  mlc+01     2.229E-15            6  mlc+01     808.1         12  mlc+01     27.74  27.74    tc93       2.08e+06 *       *          *                               
633   B1409-62      jlm+92     312.05 -1.72  0.394945790784           2  jml+95     7.4343E-15           2  jml+95     121.98         6  jml+95     3.68   3.68     tc93       8.42e+05 *       *          *                               
634   J1414-6802    ebvb01     310.59 -6.42  4.6301880619             4  ebvb01     6.39E-15             7  ebvb01     153.5          6  ebvb01     6.60   6.60     tc93       1.15e+07 *       *          *                               
635   J1415-6621    ebvb01     311.23 -4.85  0.39247897310            5  hfs+04     5.800E-16           10  hfs+04     260.17         7  hfs+04     14.40  14.40    tc93       1.07e+07 *       *          *                               

636   J1416-5033    bbb+12     316.50 10.06  0.794882546              2  bbb+12     0.12E-15             5  bbb+12     58.5           3  bbb+12     1.99   1.99     tc93       1.05e+08 *       *          *                               
637   J1416-6037    mlc+01     313.18 0.53   0.29558048193            3  mlc+01     4.280E-15           15  mlc+01     289.2         10  mlc+01     5.72   5.72     tc93       1.09e+06 *       *          *                               
638   J1418-3921    mld+96     320.82 20.46  1.09680600340            2  dsb+98     8.892E-16            3  dsb+98     60.49          1  dsb+98     5.04   +5.04    tc93       1.95e+07 *       *          *                               
639   J1418-5945    kbm+03     313.71 1.29   1.6725956812             3  kbm+03     2.71E-16            17  kbm+03     369           15  kbm+03     9.31   9.31     tc93       9.78e+07 *       *          *                               
640   J1418-6058    aaa+09c    313.32 0.13   0.110573011690          13  rkp+11     1.69394E-13         10  rkp+11     *              0  *          *      *        *          1.03e+04 *       *          NRAD                            

641   B1417-54      mlt+78     315.79 6.36   0.9357719221             3  nmc81      2.37E-16            12  nmc81      129.6         12  nmc81      4.90   4.90     tc93       6.26e+07 *       *          *                               
642   J1420-5625    hfs+04     315.00 4.35   0.03411713084786        12  hfs+04     6.8E-20             17  hfs+04     64.56          9  hfs+04     1.74   1.74     tc93       8.01e+09 BT      hfs+04     *                               
643   J1420-6048    dkm+01     313.54 0.23   0.06817987659            2  dkm+01     8.3167E-14           3  dkm+01     358.8          2  waa+09     7.65   7.65     tc93       1.3e+04  *       *          HE[rrj01,waa+09]                
644   J1422-6138    pga+13     313.52 -0.65  0.34096785164           12  pga+13     9.6836E-14          11  pga+13     *              0  *          *      *        *          5.58e+04 *       *          NRAD                            
645   J1423-56      kle+10     315.29 3.87   1.42721                  7  kle+10     *                    0  *          32.9          11  kle+10     1.33   1.33     tc93       *        *       *          RRAT                            

646   J1423-6953    ebvb01     310.74 -8.43  0.333410710172           3  jbo+09     1.45130E-15          6  jbo+09     123.98        12  jbo+09     6.38   6.38     tc93       3.64e+06 *       *          *                               
647   J1424-5556    hfs+04     315.72 4.61   0.770374845874          18  hfs+04     7.80E-16             3  hfs+04     198.7         20  hfs+04     7.71   7.71     tc93       1.56e+07 *       *          *                               
648   J1424-56      kea10      315.48 3.91   1.427                    0  kkl+11     *                    0  *          32.9          11  kkl+11     1.22   1.22     tc93       *        *       *          RRAT                            
649   J1424-5822    kbm+03     314.90 2.31   0.366734060217           6  kbm+03     3.943E-15            3  kbm+03     323.9          6  kbm+03     10.19  10.19    tc93       1.47e+06 *       *          *                               
650   J1424-6438    kbm+03     312.74 -3.56  1.02350369913            9  kbm+03     2.4E-16              7  kbm+03     248            5  kbm+03     8.31   8.31     tc93       6.76e+07 *       *          *                               

651   J1425-5723    kbm+03     315.38 3.19   0.35326292024            8  kbm+03     2.2E-17              2  kbm+03     43.4          13  kbm+03     1.46   1.46     tc93       2.54e+08 *       *          *                               
652   J1425-5759    kbm+03     315.22 2.61   0.70786760576            4  kbm+03     7.42E-16            16  kbm+03     325            5  kbm+03     10.81  10.81    tc93       1.51e+07 *       *          *                               
653   J1425-6210    mlc+01     313.63 -1.26  0.50173030987            8  mlc+01     4.8E-16              4  mlc+01     430.1         17  mlc+01     9.98   9.98     tc93       1.66e+07 *       *          *                               
654   J1427-4158    jbo+09     321.48 17.39  0.586485556229          18  jbo+09     0.6212E-15           7  jbo+09     71             3  jbo+09     5.89   +5.89    tc93       1.5e+07  *       *          *                               
655   B1424-55      mlt+78     316.43 4.80   0.570290462862           7  smd93      2.0805E-15           4  smd93      82.4           6  nmc81      2.29   2.29     tc93       4.34e+06 *       *          *                               

656   J1429-5911    sdz+10     315.26 1.30   0.11584261008            3  sdz+10     3.0500E-14           3  sdz+10     *              0  *          *      *        *          6.02e+04 *       *          NRAD                            
657   J1429-5935    mlc+01     315.05 0.95   0.76391483053            8  mlc+01     4.2751E-14           9  mlc+01     456.7         20  mlc+01     10.62  10.62    tc93       2.83e+05 *       *          *                               
658   B1426-66      lvw68      312.65 -5.40  0.785440757324           8  smd93      2.7695E-15           5  smd93      65.3           1  mka+73     1.80   1.80     tc93       4.49e+06 *       *          *                               
659   J1431-5740    bbb+13     315.96 2.66   0.0041105439567658      12  bbb+13     6.42E-21            12  bbb+13     131.46         3  bbb+13     4.07   4.07     tc93       1.01e+10 BT      bbb+13     *                               
660   J1432-5032    kjv+10     318.94 9.15   2.0349894792             3  bbb+12     5.924E-15            8  bbb+12     113            1  bbb+12     5.72   5.72     tc93       5.44e+06 *       *          *                               

661   J1433-6038    kel+09     315.09 -0.20  1.9544296353             5  kel+09     5.63E-15             4  kel+09     409            2  kel+09     9.74   9.74     tc93       5.5e+06  *       *          *                               
662   J1434-6006    kbm+03     315.40 0.26   0.30636786268            4  kbm+03     3.020E-15           17  kbm+03     332            4  kbm+03     7.25   7.25     tc93       1.61e+06 *       *          *                               
663   J1434-6029    mlc+01     315.31 -0.13  0.96334832315           16  mlc+01     1.03E-15             8  mlc+01     282            3  mlc+01     5.78   5.78     tc93       1.48e+07 *       *          *                               
664   J1435-5954    hfs+04     315.58 0.39   0.472995435514          16  hfs+04     1.5433E-15           7  hfs+04     44.26         11  hfs+04     1.46   1.46     tc93       4.86e+06 *       *          *                               
665   J1435-6100    clm+01     315.19 -0.64  0.009347972210248        7  clm+01     2.45E-20             5  clm+01     113.7          6  clm+01     3.25   3.25     tc93       6.05e+09 ELL1    clm+01     *                               

666   J1437-5959    cng+09     315.78 0.23   0.0616961234035          9  cng+09     8.5870E-15           5  cng+09     549.6         11  cng+09     11.12  11.12    tc93       1.14e+05 *       *          *                               
667   J1437-6146    hfs+04     315.10 -1.42  0.46761632345            7  hfs+04     6.3304E-15           9  hfs+04     200.5         13  hfs+04     4.77   4.77     tc93       1.17e+06 *       *          *                               
668   J1439-5501    fsk+04     318.10 4.63   0.028634888190455       12  lfl+06     1.418E-19           10  lfl+06     14.56          5  lfl+06     0.76   0.76     tc93       3.2e+09  ELL1    lfl+06     *                               
669   B1436-63      mlt+78     314.65 -3.38  0.45960536385            3  nmc81      1.1201E-15          11  nmc81      124.2          5  nmc81      4.03   4.03     tc93       6.5e+06  *       *          *                               
670   J1441-6137    kbm+03     315.65 -1.50  1.17584002290           10  kbm+03     3.6E-16              5  kbm+03     166            3  kbm+03     4.44   4.44     tc93       5.18e+07 *       *          *                               

671   J1443-5122    kjv+10     320.14 7.72   0.7320612647             5  bbb+12     0.338E-15            9  bbb+12     87.0           7  bbb+12     3.17   3.17     tc93       3.43e+07 *       *          *                               
672   J1444-5941    mlc+01     316.79 0.10   2.7602279448             6  mlc+01     8.2E-15              3  mlc+01     177.1         19  mlc+01     4.38   4.38     tc93       5.31e+06 *       *          *                               
673   J1444-6026    mll+06     316.40 -0.54  4.7585755679             2  mlk+09     18.542E-15           8  mlk+09     367.7         14  mlk+09     8.78   8.78     tc93       4.07e+06 *       *          RRAT                            
674   J1446-4701    kjb+12     322.50 11.43  0.00219469577985001      7  nbb+14     9.8102E-21          20  nbb+14     55.83202      14  nbb+14     2.03   2.03     tc93       3.54e+09 ELL1    nbb+14     HE                              
675   J1449-5846    kbm+03     317.72 0.66   0.463329577191          18  kbm+03     8.6E-17              9  kbm+03     216.6         18  kbm+03     4.74   4.74     tc93       8.54e+07 *       *          *                               

676   J1452-5851    mlc+01     318.09 0.40   0.38662501748            3  mlc+01     5.0706E-14          18  mlc+01     262.4         15  mlc+01     5.64   5.64     tc93       1.21e+05 *       *          *                               
677   J1452-6036    kbm+03     317.30 -1.17  0.1549913579183          8  kbm+03     1.44989E-15         10  kbm+03     349.7          3  kbm+03     9.44   9.44     tc93       1.69e+06 *       *          *                               
678   J1453+1902    lmcs07     23.39  60.81  0.0057923027349664       4  lmcs07     1.162E-20            3  lmcs07     14.049         4  lmcs07     0.95   0.95     tc93       7.9e+09  *       *          *                               
679   B1449-64      lvw69a     315.73 -4.43  0.1794847539641         11  smd93      2.74610E-15          7  smd93      71.07          2  tml93      2.80   1.84     tc93       1.04e+06 *       *          *                               
680   J1454-5846    clm+01     318.27 0.39   0.04524877299803        11  clm+01     8.17E-19             9  clm+01     115.95        16  clm+01     3.32   3.32     tc93       8.78e+08 BT      clm+01     *                               

681   J1455-3330    lnl+95     330.72 22.56  0.007987204796261        4  hlk+04     2.428E-20            6  hlk+04     13.5708       12  hlk+04     0.74   0.74     tc93       5.21e+09 ELL1    hlk+04     *                               
682   J1455-59      kek+13     318.10 -0.20  0.1761912                2  kek+13     *                    0  *          498.0          0  kek+13     11.45  11.45    tc93       *        *       *          *                               
683   B1451-68      lvw68      313.87 -8.54  0.2633768148933         19  smd93      9.826E-17           13  smd93      8.6            2  dmk+93     0.43   0.46     tc93       4.25e+07 *       *          *                               
684   B1454-51      mlt+78     322.13 6.72   1.7483010801             7  nmc81      5.29E-15             3  nmc81      37             5  nmc81      1.37   1.37     tc93       5.24e+06 *       *          *                               
685   J1457-5900    kbm+03     318.56 -0.03  1.4986374368             4  kbm+03     3.66E-15             7  kbm+03     175            4  kbm+03     4.25   4.25     tc93       6.49e+06 *       *          *                               

686   J1457-5902    kbm+03     318.54 -0.04  0.39073936418            5  kbm+03     1.2306E-14          14  kbm+03     477.2         19  kbm+03     11.33  11.33    tc93       5.03e+05 *       *          *                               
687   J1459-6053    aaa+09c    317.89 -1.79  0.103150638274          11  rkp+11     2.52704E-14          6  rkp+11     *              0  *          *      *        *          6.47e+04 *       *          NRAD                            
688   J1501-0046    lbr+13     356.58 48.05  0.4640368139284         82  lbr+13     2.391E-16           60  lbr+13     22.2584       90  lbr+13     2.37   +2.37    tc93       3.07e+07 *       *          *                               
689   J1501-5637    kbm+03     320.18 1.81   0.7829485661             3  kbm+03     1.7E-16              8  kbm+03     258           10  kbm+03     6.75   6.75     tc93       7.3e+07  *       *          *                               
690   J1502-5653    hfs+04     320.19 1.51   0.535504397790           3  hfs+04     1.8286E-15           3  hfs+04     194.0          4  hfs+04     4.51   4.51     tc93       4.64e+06 *       *          *                               

691   J1502-5828    kbm+03     319.39 0.13   0.66810515091           14  kbm+03     3.640E-14            8  kbm+03     584            4  kbm+03     12.21  12.21    tc93       2.91e+05 *       *          *                               
692   J1502-6128    kbm+03     317.92 -2.48  0.84210384000            3  kbm+03     1.348E-15            7  kbm+03     256.5         14  kbm+03     7.88   7.88     tc93       9.9e+06  *       *          *                               
693   J1502-6752    kjb+12     314.80 -8.07  0.02674442376700         6  nbb+14     3.145E-19           14  nbb+14     151.2         18  nbb+14     11.57  11.57    tc93       1.35e+09 ELL1    nbb+14     *                               
694   J1503+2111    clm+05     29.06  59.30  3.31400150122           12  clm+05     0.14E-15             2  clm+05     11.75          6  clm+05     0.72   0.72     tc93       3.75e+08 *       *          *                               
695   J1504-5621    kbm+03     320.67 1.85   0.41298519981            3  kbm+03     5.529E-15           12  kbm+03     143            5  kbm+03     3.93   3.93     tc93       1.18e+06 *       *          *                               

696   B1503-51      mlt+78     323.08 5.53   0.840738545              3  nmc81      6.37E-15            14  nmc81      61.0          17  nmc81      1.67   1.67     tc93       2.09e+06 *       *          *                               
697   B1504-43      mlt+78     327.34 12.46  0.28675704522            3  nmc81      1.6045E-15          12  nmc81      48.7           5  nmc81      1.79   1.79     tc93       2.83e+06 *       *          *                               
698   B1503-66      mlt+78     315.86 -7.30  0.35565490117            6  nmc81      1.157E-15            3  nmc81      129.8          5  nmc81      5.62   5.62     tc93       4.87e+06 *       *          *                               
699   B1508+55      htg+68     91.33  52.29  0.739681922904           4  hlk+04     4.99821E-15          4  hlk+04     19.613        20  hlk+04     2.10   1.94     tc93       2.34e+06 *       *          *                               
700   J1509-5850    kbm+03     319.97 -0.62  0.088921760489           3  kbm+03     9.1698E-15           7  kbm+03     140.6          8  waa+09     3.85   3.85     tc93       1.54e+05 *       *          HE[waa+09]                      

701   J1509-6015    kbm+03     319.23 -1.81  0.33903844870            4  kbm+03     2.121E-15           12  kbm+03     423.6         17  kbm+03     13.63  13.63    tc93       2.53e+06 *       *          *                               
702   B1507-44      mlt+78     327.59 11.73  0.9438712975            11  nmc81      6.1E-16              4  nmc81      84             7  nmc81      4.22   4.22     tc93       2.45e+07 *       *          *                               
703   J1511-5414    kbm+03     322.60 3.18   0.2003836959221         17  kbm+03     4.848E-16            3  kbm+03     84.76         17  kbm+03     2.24   2.24     tc93       6.55e+06 *       *          *                               
704   J1511-5835    kbm+03     320.29 -0.51  0.30151055002            4  kbm+03     3.44E-16            19  kbm+03     332            3  kbm+03     7.10   7.10     tc93       1.39e+07 *       *          *                               
705   J1512-5431    kbm+03     322.49 2.92   2.0405315742             3  kbm+03     1.92E-15             6  kbm+03     219            6  kbm+03     6.61   6.61     tc93       1.68e+07 *       *          *                               

706   B1508-57      jlm+92     320.77 -0.11  0.128694148448           2  jml+95     6.85121E-15          6  jml+95     628.7          2  jml+95     12.70  12.70    tc93       2.98e+05 *       *          *                               
707   J1513-5739    mlc+01     321.10 0.10   0.97345803480            9  mlc+01     2.755E-14            4  mlc+01     469.7         10  mlc+01     9.84   9.84     tc93       5.6e+05  *       *          *                               
708   B1509-58      sh82       320.32 -1.16  0.15125125831483         7  lk11       1.5314675176E-12    14  lk11       252.5          3  hfs+04     4.40   5.79     tc93       1.56e+03 *       *          HE[umw+93,ppp+09]               
709   J1513-5946    kle+10     319.97 -1.70  1.046117156733           8  kkl+11     8.5284E-15           4  kkl+11     171.7          9  kkl+11     4.26   4.26     tc93       1.94e+06 *       *          RRAT                            
710   B1510-48      mlt+78     325.87 7.84   0.45483920949            9  nmc81      9.25E-16             4  nmc81      51.5           8  nmc81      1.59   1.59     tc93       7.79e+06 *       *          *                               

711   J1514-4946    kcj+12     325.23 6.85   0.00359                  0  kcj+12     *                    0  *          31.5           0  kcj+12     1.27   1.27     tc93       *        *       *          HE                              
712   J1514-5925    kbm+03     320.28 -1.48  0.148796488226           5  kbm+03     2.8829E-15           7  kbm+03     194.1         13  kbm+03     4.50   4.50     tc93       8.18e+05 *       *          *                               
713   J1515-5720    kbm+03     321.39 0.28   0.28664619650            4  kbm+03     6.098E-15            8  kbm+03     482            5  kbm+03     10.32  10.32    tc93       7.45e+05 *       *          *                               
